"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","N","","35","461","35","6","3200000","1","110","2","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","N","","57","339","57","0","1000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","N","","52","625","56","0","0","4","34","4","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","N","","40","551","52","3","4300000","6","91","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","N","","28","181","28","0","2000000","17","181","17","0","21440000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","N","","36","1008","52","0","21640000","13","102","13","0","8500000"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","N","","55","581","55","0","14460000","12","170","12","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","N","","69","932","73","0","11160000","6","120","6","0","840000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","N","","31","271","31","0","0","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","N","","35","570","58","0","6250000","18","350","21","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000178","대전관저고등학교","04","공립","N","","49","706","49","0","6000000","2","16","2","0","200000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000180","대전노은고등학교","04","공립","N","","63","632","66","0","13000000","3","30","3","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000181","대전대신고등학교","04","사립","N","","51","1036","60","0","15000000","30","458","30","0","15000000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000182","대전동산고등학교","04","사립","N","","50","716","50","1","2200000","1","11","1","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000183","동아마이스터고등학교","04","사립","N","","55","469","55","13","29000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000184","대전둔산여자고등학교","04","공립","N","","62","739","63","0","9500000","5","32","5","0","500000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000185","대전둔원고등학교","04","공립","N","","77","739","78","0","3000000","1","15","1","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000186","대전만년고등학교","04","공립","N","","42","657","51","1","8000000","1","11","1","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000187","대전제일고등학교","04","사립","N","","49","537","49","0","3000000","17","205","20","0","2000000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000191","대전성모여자고등학교","04","사립","N","","38","501","41","0","10500000","3","52","3","0","2500000"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000192","대전송촌고등학교","04","공립","N","","59","957","59","0","29500000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000193","대전신일여자고등학교","04","사립","N","","30","468","30","5","0","21","229","21","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000194","대전여자고등학교","04","공립","N","","69","921","69","0","19000000","3","35","3","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000197","대전여자상업고등학교","04","사립","N","","63","422","63","0","0","27","361","27","2","38800000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000198","대전국제통상고등학교","04","공립","N","","45","293","45","1","2000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000199","대전예술고등학교","04","사립","N","","56","395","56","0","0","11","143","11","0","2000000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000200","대전외국어고등학교","04","공립","N","","58","728","59","0","6000000","33","585","34","0","3000000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000201","대전전자디자인고등학교","04","공립","N","","54","333","54","0","1500000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000202","대전중앙고등학교","04","사립","N","","38","479","53","1","10700000","3","45","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000204","대전체육고등학교","04","공립","N","","15","231","15","0","1400000","1","6","1","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000205","대전한빛고등학교","04","사립","N","","43","558","43","0","3000000","5","41","5","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000206","동대전고등학교","04","공립","N","","59","903","59","0","0","3","34","3","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000207","동방고등학교","04","사립","N","","42","792","42","0","500000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000208","대전동신과학고등학교","04","공립","N","","21","213","24","0","5000000","6","74","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000211","명석고등학교","04","사립","N","","62","673","63","2","3000000","6","65","6","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000212","보문고등학교","04","사립","N","","102","612","102","0","2500000","7","435","7","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000213","대전이문고등학교","04","사립","N","","94","482","94","0","9742000","8","59","8","0","1658000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000214","서대전고등학교","04","사립","N","","48","564","54","0","11800000","6","162","12","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000216","서대전여자고등학교","04","사립","N","","68","388","68","0","2000000","6","33","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000217","서일고등학교","04","사립","N","","46","576","46","9","14800000","3","50","3","0","2000000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000219","서일여자고등학교","04","사립","N","","26","460","33","0","1000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000223","신탄진고등학교","04","공립","N","","45","455","45","1","6000000","2","29","2","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000225","우송고등학교","04","사립","N","","54","800","54","0","13900000","5","75","5","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000226","유성고등학교","04","공립","N","","60","974","60","0","4750000","12","102","12","0","1000000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000228","유성생명과학고등학교","04","공립","N","","55","557","58","0","5000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000229","유성여자고등학교","04","사립","N","","32","513","39","1","3400000","11","179","11","1","600000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000231","중일고등학교","04","사립","N","","53","662","43","11","1400000","2","17","2","0","2000000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000232","청란여자고등학교","04","사립","N","","24","378","24","3","600000","7","79","7","0","150000"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000233","충남고등학교","04","공립","N","","60","868","65","1","6500000","3","61","3","0","1600000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000234","충남기계공업고등학교","04","공립","N","","57","690","57","0","13400000","14","132","14","0","5000000"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000236","충남여자고등학교","04","공립","N","","55","875","68","1","10000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000239","한밭고등학교","04","공립","N","","54","729","54","1","2000000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000243","호수돈여자고등학교","04","사립","N","","36","588","49","0","3000000","3","239","3","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001048","대전반석고등학교","04","공립","N","","44","862","55","0","9500000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001049","대전구봉고등학교","04","공립","N","","43","740","43","0","6000000","5","44","5","0","1500000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001085","대전전민고등학교","04","공립","N","","46","612","46","0","3900000","5","46","5","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001086","대전괴정고등학교","04","공립","N","","47","779","59","0","19100000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001089","대전지족고등학교","04","공립","N","","89","949","89","1","20680000","6","29","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001112","대전용산고등학교","04","공립","N","","72","821","80","0","6850000","0","0","0","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060001145","대전가오고등학교","04","공립","N","","40","671","40","0","8100000","6","70","6","0","0"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001177","대전복수고등학교","04","공립","N","","40","626","44","0","14790000","3","37","3","0","600000"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001274","대전도안고등학교","04","공립","N","","92","948","114","0","18350000","11","99","11","0","0"